what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.cdo.net4j,3.0.1.v20110120-1046,"org.eclipse.emf.cdo.net4j",1346217591222
started,bundle,org.eclipse.net4j,3.0.1.v20110120-1046,"org.eclipse.net4j",1346217591224
started,bundle,org.eclipse.emf.cdo.common,3.0.1.v20110120-1046,"org.eclipse.emf.cdo.common",1346217591231
started,bundle,org.eclipse.emf.cdo,3.0.1.v20110120-1046,"org.eclipse.emf.cdo",1346217591232
started,bundle,org.eclipse.emf.cdo.ui,3.0.0.v20110120-1046,"org.eclipse.emf.cdo.ui",1346217591234
started,bundle,org.eclipse.net4j.http.server,3.0.0.v20110120-1046,"org.eclipse.net4j.http.server",1346217591236
started,bundle,org.eclipse.net4j.tcp,3.0.1.v20110120-1046,"org.eclipse.net4j.tcp",1346217591238
started,bundle,org.eclipse.net4j.util,3.0.1.v20110215-1551,"org.eclipse.net4j.util",1346217591239
started,bundle,org.eclipse.net4j.util.ui,3.0.0.v20110120-1046,"org.eclipse.net4j.util.ui",1346217591239
started,bundle,org.eclipse.emf.cdo.dawn.ui,0.2.0.v20110120-1046,"org.eclipse.emf.cdo.dawn.ui",1346217591240
started,bundle,org.eclipse.emf.cdo.dawn.util,0.2.0.v20110120-1046,"org.eclipse.emf.cdo.dawn.util",1346217591267
started,bundle,org.eclipse.emf.cdo.dawn,0.2.0.v20110120-1046,"org.eclipse.emf.cdo.dawn",1346217591269
error,log,,,"Unable to create view ID org.eclipse.emf.cdo.dawn.ui.views.DawnExplorer: Plug-in ""org.eclipse.emf.cdo.dawn.ui"" was unable to instantiate class ""org.eclipse.emf.cdo.dawn.ui.views.DawnExplorer"".",1346217601483
opened,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.emf.cdo.dawn.ui.views.DawnExplorer",1346217601527
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1346217601661
opened,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1346217601822
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1346217601856
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1346217601919
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1346217601948
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1346217601948
activated,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.emf.cdo.dawn.ui.views.DawnExplorer",1346217613258
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1346217613271
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.emf.cdo.dawn.ui.views.DawnExplorer",1346217613282
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346217615121
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346217616385
error,log,,,"Error while disposing domain Favorites",1346217616485
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346217616493
started,bundle,org.eclipse.gmf.runtime.common.core,1.4.0.v20100423-2359,"org.eclipse.gmf.runtime.common.core",1346217616867
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1346217616924
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1346217616928
stopped,bundle,org.eclipse.xtext.xtext.ui,1.0.2.v201102150722,"org.eclipse.xtext.xtext.ui",1346217617201
stopped,bundle,org.eclipse.emf.mwe2.language.ui,1.0.2.v201102151014,"org.eclipse.emf.mwe2.language.ui",1346217617202
stopped,bundle,org.eclipse.ocl.examples.xtext.completeocl.ui,3.0.1.R30x_v201008251030,"org.eclipse.ocl.examples.xtext.completeocl.ui",1346217617203
stopped,bundle,org.eclipse.ocl.examples.xtext.oclinecore.ui,3.0.1.R30x_v201008251030,"org.eclipse.ocl.examples.xtext.oclinecore.ui",1346217617205
stopped,bundle,org.eclipse.ocl.examples.xtext.essentialocl.ui,3.0.1.R30x_v201008251030,"org.eclipse.ocl.examples.xtext.essentialocl.ui",1346217617206
stopped,bundle,org.eclipse.ocl.examples.xtext.oclstdlib.ui,3.0.1.R30x_v201008251030,"org.eclipse.ocl.examples.xtext.oclstdlib.ui",1346217617207
stopped,bundle,org.eclipse.xtext.xbase.ui,1.0.2.v201102150722,"org.eclipse.xtext.xbase.ui",1346217617244
stopped,bundle,org.eclipse.xtext.common.types.ui,1.0.2.v201102150722,"org.eclipse.xtext.common.types.ui",1346217617287
